Activity Cost exists for Employee {0} against Activity Type - {1},Для сотрудника {0} уже существует стоимость деятельности по типу - {1},
Activity Cost per Employee,Стоимость деятельности на сотрудника,
Activity Type,Тип деятельности,
Actual Cost,Фактическая стоимость,
Actual Delivery Date,Фактическая дата доставки,
Actual Qty,Фактическое количество,
Actual Qty is mandatory,Фактическое количество обязательно к заполнению,
Actual Qty {0} / Waiting Qty {1},Фактическое количество {0} / В ожидании {1},
Actual Qty: Quantity available in the warehouse.,Фактическое количество: Доступно на складе,
Actual qty in stock,Фактический складской остаток,
Actual type tax cannot be included in Item rate in row {0},Фактическая ставка налога не может быть включена в цену номенклатуры в строке {0},
Add,Добавить,
Add / Edit Prices,Добавить/редактировать цены,
Add Comment,Добавить комментарий,
Add Customers,Добавить клиентов,
Add Employees,Добавить сотрудников,
Add Item,Добавить номенклатуру,
Add Items,Добавить номенклатуру,
Add Leads,Добавить лиды,
Add Multiple Tasks,Добавить несколько задач,
Add Sales Partners,Добавить партнеров по продажам,
Add Serial No,Добавить серийный номер,
Add Students,Добавить студентов,
Add Suppliers,Добавить поставщиков,
Add Time Slots,Добавить временные интервалы,
Add Timesheets,Добавить табели учета рабочего времени,
Add Timeslots,Добавить временные интервалы,
Add Users to Marketplace,Добавить пользователей на торговую площадку,
Add a new address,Добавить новый адрес,
Add cards or custom sections on homepage,Добавить карточки или настраиваемые разделы на главной странице,
Add more items or open full form,Добавить еще номенклатуру или открыть полную форму,
Add notes,Добавить заметки,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Добавьте остальных сотрудников организации в качестве пользователей. Вы также можете пригласить клиентов на портал, добавив их из списка контактов",
Add/Remove Recipients,Добавить/удалить получателей,
Added,Добавлено,
Added {0} users,Добавлено пользователей: {0},
Additional Salary Component Exists.,Дополнительный компонент заработной платы уже существует.,
Address,Адрес,
Address Line 2,Адрес (строка 2),
Address Name,Наименование адреса,
Address Title,Название адреса,
Address Type,Тип адреса,
Administrative Expenses,Административные расходы,
Administrative Officer,Административный руководитель,
Administrator,Администратор,
Admission,Прием,
Admission and Enrollment,Прием и зачисление,
Admissions for {0},Прием для {0},
Admit,Принять,
Admitted,Принят,
Advance Amount,Сумма аванса,
Advance Payments,Авансовые платежи,
Advance account currency should be same as company currency {0},Валюта счета авансов должна совпадать с валютой компании {0},
Advance amount cannot be greater than {0} {1},Сумма аванса не может превышать {0} {1},
Advertising,Реклама,
Aerospace,Аэрокосмическая отрасль,
Against,По,
Against Account,По счету,
Against Journal Entry {0} does not have any unmatched {1} entry,В проводке {0} нет несопоставленной записи {1},
Against Journal Entry {0} is already adjusted against some other voucher,Проводка {0} уже скорректирована по другому документу,
Against Supplier Invoice {0} dated {1},По счету поставщика {0} от {1},
Against Voucher,По документу,
Against Voucher Type,По типу документа,
Age,Возраст,
Age (Days),Срок (дней),
Ageing Based On,Срок давности на основании,
Ageing Range 1,Диапазон срока давности 1,
Ageing Range 2,Диапазон срока давности 2,
Ageing Range 3,Диапазон срока давности 3,
Agriculture,Сельское хозяйство,
Agriculture (beta),Сельское хозяйство (бета),
Airline,Авиакомпания,
All Accounts,Все счета,
All Addresses.,Все адреса.,
All Assessment Groups,Все группы оценки,
All BOMs,Все спецификации,
All Contacts.,Все контакты.,
All Customer Groups,Все группы клиентов,
All Day,Весь день,
All Departments,Все подразделения,
All Healthcare Service Units,Все отделения здравоохранения,
All Item Groups,Все группы номенклатуры,
All Products,Вся номенклатура,
All Products or Services.,Вся номенклатура и услуги.,
All Student Admissions,Все заявки на прием студентов,
All Supplier Groups,Все группы поставщиков,
All Supplier scorecards.,Все оценочные карты поставщиков.,
All Territories,Все территории,
All Warehouses,Все склады,
All communications including and above this shall be moved into the new Issue,Все сообщения (включая это и предыдущие) будут перемещены в новую задачу,
All items have already been transferred for this Work Order.,Вся номенклатура уже перемещена для этого производственного заказа.,
All other ITC,Все прочие налоговые вычеты,
All the mandatory Task for employee creation hasn't been done yet.,Не все обязательные задачи по созданию сотрудника выполнены.,
Allocate Payment Amount,Распределить сумму платежа,
Allocated Amount,Распределенная сумма,
Allocating leaves...,Распределение отпусков...,
Already record exists for the item {0},Запись для номенклатуры {0} уже существует,
"Already set default in pos profile {0} for user {1}, kindly disabled default","Уже установлено по умолчанию в профиле ККМ {0} для пользователя {1}, отключите значение по умолчанию",
Alternate Item,Альтернативная номенклатура,
Alternative item must not be same as item code,Код альтернативной номенклатуры не должен совпадать с основным кодом,
Amended From,Изменено с,
Amount,Сумма,
Amount After Depreciation,Сумма после амортизации,
Amount of Integrated Tax,Сумма единого налога,
Amount of TDS Deducted,Сумма удержанного налога у источника,
Amount should not be less than zero.,Сумма не должна быть меньше нуля.,
Amount to Bill,Сумма к выставлению счета,
Amount {0} {1} against {2} {3},Сумма {0} {1} по {2} {3},
Amount {0} {1} deducted against {2},Сумма {0} {1} удержана по {2},
Amount {0} {1} transferred from {2} to {3},Сумма {0} {1} переведена из {2} в {3},
Amount {0} {1} {2} {3},Сумма {0} {1} {2} {3},
Amt,Сумма,
"An Item Group exists with same name, please change the item name or rename the item group",Группа номенклатуры с таким названием уже существует. Измените название номенклатуры или название группы,
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,Учебный семестр с указанным учебным годом {0} и названием {1} уже существует. Измените данные и повторите попытку.,
An error occurred during the update process,Произошла ошибка в процессе обновления,
"An item exists with same name ({0}), please change the item group name or rename the item",Номенклатура с названием ({0}) уже существует. Измените название группы номенклатуры или название позиции,
Analyst,Аналитик,
Annual Billing: {0},Годовой оборот: {0},
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Другая запись бюджета '{0}' уже существует для {1} '{2}' и счета '{3}' за финансовый год {4},
Another Period Closing Entry {0} has been made after {1},Другая запись закрытия периода {0} создана после {1},
Another Sales Person {0} exists with the same Employee id,Другой менеджер по продажам {0} существует с тем же табельным номером сотрудника,
Antibiotic,Антибиотик,
Apparel & Accessories,Одежда и аксессуары,
Applicable For,Применимо для,
"Applicable if the company is SpA, SApA or SRL","Применимо, если компания является SpA, SApA или SRL",
Applicable if the company is a limited liability company,"Применимо, если компания является обществом с ограниченной ответственностью",
Applicable if the company is an Individual or a Proprietorship,"Применимо, если компания является индивидуальным предпринимателем или частным лицом",
Application of Funds (Assets),Размещение средств (активы),
Applied,Применено,
Appointment Confirmation,Подтверждение встречи,
Appointment Duration (mins),Длительность встречи (мин),
Appointment Type,Тип встречи,
Appointment {0} and Sales Invoice {1} cancelled,Встреча {0} и счет на оплату {1} отменены,
Appointments and Encounters,Встречи и контакты,
Appointments and Patient Encounters,Встречи и приемы пациентов,
Appraisal {0} created for Employee {1} in the given date range,Оценка {0} создана для сотрудника {1} в указанном периоде,
Approving Role cannot be same as role the rule is Applicable To,Утверждающая роль не может совпадать с ролью к которой применяется правило,
Approving User cannot be same as user the rule is Applicable To,Утверждающий пользователь не может совпадать с пользователем к которому применяется правило,
"Apps using current key won't be able to access, are you sure?","Приложения, использующие текущий ключ, потеряют доступ. Вы уверены?",
Are you sure you want to cancel this appointment?,Вы действительно хотите отменить эту встречу?,
Arrear,Задолженность,
As Examiner,В качестве экзаменатора,
As On Date,На дату,
As Supervisor,В качестве руководителя,
As per rules 42 & 43 of CGST Rules,Согласно правилам 42 и 43 CGST,
As per section 17(5),Согласно разделу 17(5),
Assessment,Оценка,
Assessment Criteria,Критерии оценки,
Assessment Group,Группа оценки,
Assessment Group: ,Группа оценки:,
Assessment Plan,План оценки,
Assessment Plan Name,Название плана оценки,
Assessment Report,Отчет об оценке,
Assessment Reports,Отчеты об оценке,
Assessment Result,Результат оценки,
Assessment Result record {0} already exists.,Запись результата оценки {0} уже существует.,
Asset,Основное средство,
Asset Category,Категория основных средств,
Asset Category is mandatory for Fixed Asset item,Категория основных средств обязательна для позиции основных средств,
Asset Maintenance,Обслуживание основных средств,
Asset Movement,Перемещение основных средств,
Asset Movement record {0} created,Создана запись о перемещении основного средства {0},
Asset Name,Наименование основного средства,
Asset Received But Not Billed,"Основное средство получено, но не оприходовано",
Asset Value Adjustment,Корректировка стоимости основного средства,
"Asset cannot be cancelled, as it is already {0}","Основное средство нельзя отменить, так как оно уже {0}",
Asset scrapped via Journal Entry {0},Основное средство списано через проводку {0},
"Asset {0} cannot be scrapped, as it is already {1}","Основное средство {0} нельзя списать, так как оно уже {1}",
Asset {0} does not belong to company {1},Основное средство {0} не принадлежит компании {1},
Asset {0} must be submitted,Основное средство {0} должно быть проведено,
Assets,Основные средства,
Assign To,Назначить,
Associate,Помощник,
At least one mode of payment is required for POS invoice.,Для чека ККМ требуется как минимум один способ оплаты.,
Atleast one item should be entered with negative quantity in return document,В документе возврата должна быть как минимум одна позиция с отрицательным количеством,
Atleast one of the Selling or Buying must be selected,Необходимо выбрать хотя бы одно: Продажа или Покупка,
Atleast one warehouse is mandatory,Необходимо указать хотя бы один склад,
Attach Logo,Прикрепить логотип,
Attachment,Вложение,
Attachments,Вложения,
Attendance can not be marked for future dates,Нельзя отметить присутствие на будущие даты,
Attendance date can not be less than employee's joining date,Дата присутствия не может быть раньше даты приема сотрудника на работу,
Attendance for employee {0} is already marked,Присутствие сотрудника {0} уже отмечено,
Attendance has been marked successfully.,Присутствие успешно отмечено.,
Attendance not submitted for {0} as {1} on leave.,Присутствие не отмечено для {0} так как {1} в отпуске.,
Attribute table is mandatory,Таблица атрибутов обязательна,
Attribute {0} selected multiple times in Attributes Table,Атрибут {0} выбран несколько раз в таблице атрибутов,
Authorized Signatory,Уполномоченное лицо,
Auto Material Requests Generated,Автоматически созданы заявки на материалы,
Auto Repeat,Автоповтор,
Auto repeat document updated,Документ автоповтора обновлен,
Automotive,Автомобильная промышленность,
Available,Доступно,
Available Qty,Доступное количество,
Available Selling,Доступно для продажи,
Available for use date is required,Требуется указать дату начала использования,
Available slots,Доступные интервалы,
Available {0},Доступно {0},
Available-for-use Date should be after purchase date,Дата начала использования должна быть позже даты покупки,
Average Age,Средний возраст,
Average Rate,Средний курс,
Avg Daily Outgoing,Среднее количество исходящих в день,
Avg. Buying Price List Rate,Средняя цена закупки по прайс-листу,
Avg. Selling Price List Rate,Средняя цена продажи по прайс-листу,
Avg. Selling Rate,Средняя цена продажи,
BOM,Спецификация,
BOM Browser,Обозреватель спецификаций,
BOM No,№ спецификации,
BOM Rate,Стоимость по спецификации,
BOM Stock Report,Отчет по складским остаткам по спецификации,
BOM and Manufacturing Quantity are required,Спецификация и количество для производства обязательны,
BOM does not contain any stock item,Спецификация не содержит складских позиций,
BOM {0} does not belong to Item {1},Спецификация {0} не относится к номенклатуре {1},
BOM {0} must be active,Спецификация {0} должна быть активна,
BOM {0} must be submitted,Спецификация {0} должна быть проведена,
Balance,Остаток,
Balance (Dr - Cr),Остаток (Дебет - Кредит),
Balance ({0}),Остаток ({0}),
Balance Qty,Остаток количества,
Balance Sheet,Бухгалтерский баланс,
Balance Value,Остаток в валюте,
Balance for Account {0} must always be {1},Остаток по счету {0} всегда должен быть {1},
Bank,Банк,
Bank Account,Банковский счет,
Bank Accounts,Банковские счета,
Bank Draft,Банковская тратта,
Bank Name,Наименование банка,
Bank Overdraft Account,Счет банковского овердрафта,
Bank Reconciliation,Банковская сверка,
Bank Reconciliation Statement,Акт банковской сверки,
Bank Statement,Банковская выписка,
Bank Statement Settings,Настройки банковских выписок,
Bank Statement balance as per General Ledger,Остаток по банковской выписке согласно главной книге,
Bank account cannot be named as {0},Банковский счет не может иметь название {0},
Bank/Cash transactions against party or for internal transfer,Банковские/кассовые операции по контрагенту или для внутреннего перевода,
Banking,Банковские операции,
Banking and Payments,Банковские операции и платежи,
Barcode {0} already used in Item {1},Штрихкод {0} уже используется для номенклатуры {1},
Barcode {0} is not a valid {1} code,Штрихкод {0} не является допустимым кодом {1},
Base URL,Базовый URL,
Based On,На основании,
Based On Payment Terms,На основании условий оплаты,
Batch,Партия,
Batch Entries,Записи по партиям,
Batch ID is mandatory,Идентификатор партии обязателен,
Batch Inventory,Партионный учет,
Batch Name,Наименование партии,
Batch No,№ партии,
Batch number is mandatory for Item {0},Номер партии обязателен для номенклатуры {0},
Batch {0} of Item {1} has expired.,Партия {0} номенклатуры {1} просрочена.,
Batch {0} of Item {1} is disabled.,Партия {0} номенклатуры {1} отключена.,
Batch: ,Партия: ,
Batches,Партии,
Become a Seller,Стать продавцом,
Bill,Счет,
Bill Date,Дата счета,
Bill No,№ счета,
Bill of Materials,Спецификация,
Bill of Materials (BOM),Спецификация (BOM),
Billable Hours,Оплачиваемые часы,
Billed,Счет выставлен,
Billed Amount,Сумма выставленных счетов,
Billing Address,Адрес для выставления счетов,
Billing Address is same as Shipping Address,Адрес для выставления счетов совпадает с адресом доставки,
Billing Amount,Сумма к оплате,
Billing Status,Статус оплаты,
Billing currency must be equal to either default company's currency or party account currency,Валюта счета должна совпадать с валютой компании по умолчанию или валютой счета контрагента,
Bills raised by Suppliers.,Счета от поставщиков.,
Bills raised to Customers.,Счета клиентам.,
Biotechnology,Биотехнологии,
Black,Черный,
Blanket Orders from Costumers.,Рамочные заказы от клиентов.,
Block Invoice,Блокировка счета,
Boms,Спецификации,
Both Trial Period Start Date and Trial Period End Date must be set,Необходимо указать дату начала и дату окончания пробного периода,
Both Warehouse must belong to same Company,Оба склада должны принадлежать одной компании,
Branch,Филиал,
Broadcasting,Вещание,
Brokerage,Брокерские услуги,
Browse BOM,Просмотр спецификации,
Budget Against,Бюджет по,
Budget List,Список бюджетов,
Budget Variance Report,Отчет об отклонениях от бюджета,
Budget cannot be assigned against Group Account {0},Бюджет не может быть назначен для группового счета {0},
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Бюджет не может быть назначен для {0}, так как это не счет доходов или расходов",
Buildings,Здания,
Bundle items at time of sale.,Комплектовать позиции при продаже.,
Business Development Manager,Менеджер по развитию бизнеса,
Buy,Купить,
Buying,Закупки,
Buying Amount,Сумма закупки,
Buying Price List,Прайс-лист закупок,
Buying Rate,Курс покупки,
"Buying must be checked, if Applicable For is selected as {0}","Необходимо отметить закупку, если для поля 'Применимо для' выбрано значение {0}",
By {0},От {0},
Bypass credit check at Sales Order,Пропустить проверку кредита в заказе на продажу,
C-Form records,Записи C-Form,
C-form is not applicable for Invoice: {0},C-form не применима для счета: {0},
CEO,Генеральный директор,
CESS Amount,Сумма CESS,
CGST Amount,Сумма CGST,
CRM,CRM,
CWIP Account,Счет незавершенного строительства,
Calculated Bank Statement balance,Расчетный остаток по банковской выписке,
Campaign,Кампания,
Can be approved by {0},Может быть утверждено пользователем {0},
"Can not filter based on Account, if grouped by Account","Нельзя фильтровать по счету, если группировка выполнена по счету",
"Can not filter based on Voucher No, if grouped by Voucher",Нельзя фильтровать по номеру документа при группировке по документу,
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Невозможно отметить выписку пациента, есть неоплаченные счета {0}",
Can only make payment against unbilled {0},Можно произвести оплату только по невыставленным счетам {0},
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',"Можно ссылаться на строку, только если тип начисления 'От суммы предыдущей строки' или 'От итога предыдущей строки'",
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Невозможно изменить метод оценки, так как существуют операции по позициям, не имеющим собственного метода оценки",
Can't create standard criteria. Please rename the criteria,Невозможно создать стандартные критерии. Измените название критериев,
Cancel,Отменить,
Cancel Material Visit {0} before cancelling this Warranty Claim,Отмените визит по материалам {0} перед отменой этой гарантийной рекламации,
Cancel Material Visits {0} before cancelling this Maintenance Visit,Отмените визиты по материалам {0} перед отменой этого визита на обслуживание,
Cancel Subscription,Отменить подписку,
Cancel the journal entry {0} first,Сначала отмените проводку {0},
Canceled,Отменено,
"Cannot Submit, Employees left to mark attendance","Невозможно провести, не отмечено присутствие некоторых сотрудников",
Cannot be a fixed asset item as Stock Ledger is created.,"Невозможно создать основное средство, так как уже созданы складские проводки.",
Cannot cancel because submitted Stock Entry {0} exists,"Невозможно отменить, так как существует проведенное складское перемещение {0}",
Cannot cancel transaction for Completed Work Order.,Невозможно отменить операцию для завершенного производственного заказа.,
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},"Невозможно отменить {0} {1}, так как серийный номер {2} не принадлежит складу {3}",
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Невозможно изменить атрибуты после складской операции. Создайте новую номенклатуру и переместите остатки на нее,
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Невозможно изменить даты начала и окончания финансового года после его сохранения.,
Cannot change Service Stop Date for item in row {0},Невозможно изменить дату окончания обслуживания для позиции в строке {0},
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,Невозможно изменить свойства варианта после складской операции. Необходимо создать новую номенклатуру.,
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Невозможно изменить валюту компании по умолчанию, так как существуют операции. Для изменения валюты необходимо отменить операции.",
Cannot change status as student {0} is linked with student application {1},"Невозможно изменить статус, так как студент {0} связан с заявлением {1}",
Cannot convert Cost Center to ledger as it has child nodes,"Невозможно преобразовать центр затрат в счет, так как он имеет дочерние узлы",
Cannot covert to Group because Account Type is selected.,"Невозможно преобразовать в группу, так как выбран тип счета.",
Cannot create Retention Bonus for left Employees,Невозможно создать бонус за удержание для уволенных сотрудников,
Cannot create a Delivery Trip from Draft documents.,Невозможно создать маршрут доставки из черновиков документов.,
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Невозможно деактивировать или отменить спецификацию, так как она связана с другими спецификациями",
"Cannot declare as lost, because Quotation has been made.","Невозможно отметить как потерянное, так как создано коммерческое предложение.",
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"Невозможно вычесть, если категория 'Оценка' или 'Оценка и итог'",
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',"Невозможно вычесть, если категория 'Оценка' или 'Оценка и итог'",
"Cannot delete Serial No {0}, as it is used in stock transactions","Невозможно удалить серийный номер {0}, так как он используется в складских операциях",
Cannot enroll more than {0} students for this student group.,Невозможно зачислить более {0} студентов в эту группу.,
Cannot produce more Item {0} than Sales Order quantity {1},"Невозможно произвести номенклатуры {0} больше, чем указано в заказе на продажу {1}",
Cannot promote Employee with status Left,Невозможно повысить уволенного сотрудника,
Cannot refer row number greater than or equal to current row number for this Charge type,Невозможно ссылаться на номер строки больше или равный текущему для данного типа начисления,
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Невозможно выбрать тип начисления 'От суммы предыдущей строки' или 'От итога предыдущей строки' для первой строки,
Cannot set as Lost as Sales Order is made.,"Невозможно отметить как потерянное, так как создан заказ на продажу.",
Cannot set authorization on basis of Discount for {0},Невозможно установить авторизацию на основе скидки для {0},
Cannot set multiple Item Defaults for a company.,Невозможно установить несколько значений по умолчанию для компании.,
Cannot set quantity less than delivered quantity,Невозможно установить количество меньше отгруженного,
Cannot set quantity less than received quantity,Невозможно установить количество меньше полученного,
Cannot set the field <b>{0}</b> for copying in variants,Невозможно установить поле <b>{0}</b> для копирования в вариантах,
Cannot transfer Employee with status Left,Невозможно перевести уволенного сотрудника,
Cannot {0} {1} {2} without any negative outstanding invoice,Невозможно {0} {1} {2} без отрицательного неоплаченного счета,
Capital Equipments,Капитальное оборудование,
Capital Stock,Уставный капитал,
Capital Work in Progress,Незавершенное строительство,
Cart,Корзина,
Cart is Empty,Корзина пуста,
Case No(s) already in use. Try from Case No {0},Номер(а) дела уже используются. Попробуйте начать с номера дела {0},
Cash,Касса,
Cash Flow Statement,Отчет о движении денежных средств,
Cash Flow from Financing,Денежный поток от финансовой деятельности,
